movieid,Gross,USD,Title,Year,Genre
1883995,"GR: USD 50,000,000 (USA) (31 December 1977)",50000000,Dog Day Afternoon (1975),1975,Crime
1884087,"GR: USD 242,093 (USA) (3 October 1999)",242093,Dog Park (1998),1998,Comedy
1884286,"GR: USD 30,651,422 (USA) (26 March 2000)",30651422,Dogma (1999),1999,Adventure
1885039,"GR: USD 24,361,867 (USA)",24361867,Dolores Claiborne (1995),1995,Crime
1885177,"GR: USD 280,015 (USA)",280015,Dom za vesanje (1988),1988,Comedy
1885734,"GR: USD 22,200,000 (USA)",22200000,Don Juan DeMarco (1994),1994,Comedy
1886830,"GR: USD 46,470 (USA) (31 January 1999)",46470,Dong gong xi gong (1996),1996,Drama
1887066,"GR: USD 41,954,997 (USA) (15 June 1997)",41954997,Donnie Brasco (1997),1997,Biography
1886005,"GR: USD 39,255,889 (USA)",39255889,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996,Comedy
1888780,"GR: USD 759,393 (USA)",759393,Double Happiness (1994),1994,Drama
1888823,"GR: USD 116,735,231 (USA) (19 March 2000)",116735231,Double Jeopardy (1999),1999,Crime
1889009,"GR: USD 11,438,337 (USA) (6 July 1997)",11438337,Double Team (1997),1997,Action
1889253,"GR: USD 19,421,271 (USA) (25 July 1999)",19421271,Doug's 1st Movie (1999),1999,Animation
1889579,"GR: USD 1,419,835 (USA) (21 December 1986)",1419835,Down by Law (1986),1986,Comedy
1889621,"GR: USD 5,662,985 (USA) (21 February 1999)",5662985,Down in the Delta (1998),1998,Drama
1889491,"GR: USD 25,785,603 (USA)",25785603,Down Periscope (1996),1996,Comedy
1889788,"GR: USD 20,035,310 (USA) (16 April 2000)",20035310,Down to You (2000),2000,Comedy
1890357,"GR: USD 16,067,035 (USA)",16067035,Dr. No (1962),1962,Action
1890437,"GR: USD 9,440,272 (USA) (31 December 1994)",9440272,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1964,Comedy
1890522,"GR: USD 82,522,790 (USA)",82522790,Dracula (1992),1992,Drama
1890588,"GR: USD 10,693,649 (USA)",10693649,Dracula: Dead and Loving It (1995),1995,Comedy
1890829,"GR: USD 51,317,350 (USA) (25 August 1996)",51317350,DragonHeart (1996),1996,Action
1891649,"GR: USD 464,655 (USA) (10 August 1997)",464655,Dream with the Fishes (1997),1997,Comedy
1892794,"GR: USD 17,843,379 (USA) (16 January 2000)",17843379,Drive Me Crazy (1999),1999,Comedy
1892991,"GR: USD 106,593,296 (USA)",106593296,Driving Miss Daisy (1989),1989,Comedy
1893210,"GR: USD 10,561,238 (USA) (12 September 1999)",10561238,Drop Dead Gorgeous (1999),1999,Comedy
1893245,"GR: USD 28,720,380 (USA)",28720380,Drop Zone (1994),1994,Action
1893343,"GR: USD 15,427,192 (USA) (9 April 2000)",15427192,Drowning Mona (2000),2000,Comedy
1893483,"GR: USD 4,729,352 (USA)",4729352,Drugstore Cowboy (1989),1989,Crime
1894453,"GR: USD 9,694,105 (USA) (3 October 1999)",9694105,Dudley Do-Right (1999),1999,Comedy
1894753,"GR: USD 4,734,235 (USA) (29 October 2000)",4734235,Duets (2000),2000,Comedy
1895102,"GR: USD 127,175,354 (USA)",127175354,Dumb & Dumber (1994),1994,Comedy
1895286,"GR: USD 30,925,690 (USA)",30925690,Dune (1984),1984,Action
1895298,"GR: USD 173,526 (USA) (4 January 2009)",173526,Dung che sai duk (1994),1994,Action
1895425,"GR: USD 18,838,000 (USA)",18838000,Dunston Checks In (1996),1996,Adventure
1897778,"GR: USD 31,429,332 (USA) (18 August 1985)",31429332,E.T. the Extra-Terrestrial (1982),1982,Adventure
1898449,"GR: USD 4,170,647 (USA) (10 September 2000)",4170647,East Is East (1999),1999,Comedy
1898779,"GR: USD 29,309,766 (USA) (23 October 1983)",29309766,Easy Money (1983),1983,Comedy
1898814,"GR: USD 41,728,598 (USA)",41728598,Easy Rider (1969),1969,Drama
1899769,"GR: USD 31,356,117 (USA) (22 September 1996)",31356117,Eddie (1996),1996,Comedy
1900069,"GR: USD 870,751 (USA) (30 January 2000)",870751,Edge of Seventeen (1998),1998,Comedy
1900319,"GR: USD 22,362,500 (USA) (30 May 1999)",22362500,Edtv (1999),1999,Comedy
1900465,"GR: USD 56,362,352 (USA)",56362352,Edward Scissorhands (1990),1990,Drama
1901554,"GR: USD 26,347 (USA) (16 May 1999)",26347,Eight Days a Week (1997),1997,Comedy
1904548,"GR: USD 50,037 (USA) (31 October 1999)",50037,El abuelo (1998),1998,Drama
1907821,"GR: USD 2,040,920 (USA) (18 July 2012)",2040920,El mariachi (1992),1992,Action
1910848,"GR: USD 14,879,556 (USA) (8 August 1999)",14879556,Election (1999),1999,Comedy
1911817,"GR: USD 30,012,990 (USA) (9 May 1999)",30012990,Elizabeth (1998),1998,Biography
1913354,"GR: USD 22,201,883 (USA) (24 November 1996)",22201883,Emma (1996),1996,Comedy
1913703,"GR: USD 303,841 (USA)",303841,Empire Records (1995),1995,Comedy
1915247,"GR: USD 13,200,170 (USA)",13200170,Enchanted April (1991),1991,Drama
1915498,"GR: USD 66,862,068 (USA) (5 March 2000)",66862068,End of Days (1999),1999,Action
1915861,"GR: USD 229,128 (USA) (1 August 1999)",229128,Endurance (1999),1999,Biography
1915987,"GR: USD 111,544,445 (USA) (18 April 1999)",111544445,Enemy of the State (1998),1998,Action
1916996,"GR: USD 711,872 (USA)",711872,Entertaining Angels: The Dorothy Day Story (1996),1996,Biography
1917129,"GR: USD 87,704,396 (USA) (26 September 1999)",87704396,Entrapment (1999),1999,Action
1918307,"GR: USD 101,228,120 (USA) (6 October 1996)",101228120,Eraser (1996),1996,Action
1918312,"GR: USD 7,000,000 (USA)",7000000,Eraserhead (1977),1977,Fantasy
1918615,"GR: USD 125,548,685 (USA) (6 August 2000)",125548685,Erin Brockovich (2000),2000,Biography
1919846,"GR: USD 25,477,365 (USA) (17 November 1996)",25477365,Escape from L.A. (1996),1996,Action
1919853,"GR: USD 25,244,700 (USA)",25244700,Escape from New York (1981),1981,Action
1920973,"GR: USD 2,775,520 (USA) (1 October 2000)",2775520,Est - Ouest (1999),1999,Drama
1922571,"GR: USD 49,400,000 (USA)",49400000,European Vacation (1985),1985,Adventure
1923072,"GR: USD 1,710,000 (USA)",1710000,Even Cowgirls Get the Blues (1993),1993,Comedy
1923165,"GR: USD 26,616,590 (USA) (26 October 1997)",26616590,Event Horizon (1997),1997,Horror
1923244,"GR: USD 65,703,412 (USA) (24 January 1999)",65703412,EverAfter (1998),1998,Comedy
1923287,"GR: USD 76,447,420 (USA) (30 July 2000)",76447420,Everest (1998),1998,Documentary
1923821,"GR: USD 9,714,482 (USA) (27 April 1997)",9714482,Everyone Says I Love You (1996),1996,Comedy
1923001,"GR: USD 14,821,531 (USA) (8 March 1998)",14821531,Eve's Bayou (1997),1997,Drama
1924384,"GR: USD 50,047,179 (USA) (8 May 1997)",50047179,Evita (1996),1996,Biography
1924700,"GR: USD 4,519,706 (USA) (12 April 1981)",4519706,Excalibur (1981),1981,Adventure
1924755,"GR: USD 14,327,206 (USA) (21 December 1997)",14327206,Excess Baggage (1997),1997,Action
1924959,"GR: USD 68,750,000 (USA)",68750000,Executive Decision (1996),1996,Action
2591814,"GR: USD 2,840,417 (USA) (20 June 1999)",2840417,eXistenZ (1999),1999,Sci-Fi
1925449,"GR: USD 6,735,000 (USA) (19 June 1977)",6735000,Exorcist II: The Heretic (1977),1977,Horror
1925477,"GR: USD 4,183,379 (USA)",4183379,Exotica (1994),1994,Drama
1925610,"GR: USD 822,650 (USA) (5 February 1984)",822650,Experience Preferred... But Not Essential (1982),1982,Drama
1926507,"GR: USD 17,305,211 (USA) (3 November 1996)",17305211,Extreme Measures (1996),1996,Crime
1926668,"GR: USD 13,418,091 (USA)",13418091,Extremities (1986),1986,Drama
1926866,"GR: USD 16,459,004 (USA) (26 March 2000)",16459004,Eye of the Beholder (1999),1999,Drama
1927021,"GR: USD 20,000,000 (USA)",20000000,Eyes of Laura Mars (1978),1978,Horror
1927003,"GR: USD 55,637,680 (USA) (3 October 1999)",55637680,Eyes Wide Shut (1999),1999,Drama
1927950,"GR: USD 112,225,777 (USA) (2 November 1997)",112225777,Face/Off (1997),1997,Action
1928755,"GR: USD 14,036,249 (USA) (11 January 1998)",14036249,FairyTale: A True Story (1997),1997,Drama
1928940,"GR: USD 2,104,000 (USA)",2104000,Faithful (1996),1996,Comedy
1929146,"GR: USD 31,673 (USA) (1 October 2000)",31673,Falkens �lga (1998),1998,Documentary
1929262,"GR: USD 25,188,006 (USA) (22 March 1998)",25188006,Fallen (1998),1998,Crime
1929431,"GR: USD 40,903,593 (USA)",40903593,Falling Down (1993),1993,Crime
1930572,"GR: USD 86,134 (USA) (3 February 1985)",86134,Fandango (1985),1985,Comedy
1930730,"GR: USD 4,971,340 (USA) (2 January 1984)",4971340,Fanny och Alexander (1982),1982,Drama
1930793,"GR: USD 25,363,371 (USA) (1990)",25363371,Fantasia (1940),1940,Animation
1930810,"GR: USD 60,507,228 (USA) (1 January 2001)",60507228,Fantasia/2000 (1999),1999,Animation
1931213,"GR: USD 58,883,840 (USA)",58883840,Far and Away (1992),1992,Adventure
1931235,"GR: USD 11,642,946 (USA)",11642946,Far from Home: The Adventures of Yellow Dog (1995),1995,Adventure
1931489,"GR: USD 24,611,975 (USA) (13 May 1997)",24611975,Fargo (1996),1996,Crime
1931497,"GR: USD 2,122,948 (USA)",2122948,Farinelli (1994),1994,Biography
1932160,"GR: USD 27,092,880 (USA) (17 October 1982)",27092880,Fast Times at Ridgemont High (1982),1982,Comedy
1932207,"GR: USD 832,785 (USA) (11 January 1998)",832785,"Fast, Cheap & Out of Control (1997)",1997,Documentary
1932389,"GR: USD 142,200,833 (USA) (7 February 1988)",142200833,Fatal Attraction (1987),1987,Drama
1932451,"GR: USD 7,852,653 (USA)",7852653,Fatal Instinct (1993),1993,Comedy
1932819,"GR: USD 76,594,000 (USA)",76594000,Father of the Bride Part II (1995),1995,Comedy
1932958,"GR: USD 28,659,604 (USA) (20 July 1997)",28659604,Fathers' Day (1997),1997,Comedy
1933254,"GR: USD 236,090 (USA)",236090,Fausto (1993),1993,Comedy
1933459,"GR: USD 20,754,000 (USA)",20754000,Fear (1996),1996,Drama
1933552,"GR: USD 10,680,275 (USA) (6 June 2013)",10680275,Fear and Loathing in Las Vegas (1998),1998,Adventure
1933633,"GR: USD 6,995,302 (USA)",6995302,Fearless (1993),1993,Drama
1933702,"GR: USD 293,274 (USA)",293274,Feast of July (1995),1995,Crime
1933830,"GR: USD 518,663 (USA)",518663,Federal Hill (1994),1994,Crime
1934075,"GR: USD 3,102,672 (USA) (6 October 1996)",3102672,Feeling Minnesota (1996),1996,Comedy
1934260,"GR: USD 10,440,032 (USA) (24 August 1997)",10440032,Fei ying gai wak (1991),1991,Action
1934406,"GR: USD 819,852 (USA) (23 January 2000)",819852,Felicia's Journey (1999),1999,Drama
1934787,"GR: USD 883,973 (USA) (27 July 1997)",883973,Female Perversions (1996),1996,Drama
1935106,"GR: USD 1,084,532 (USA) (10 August 1997)",1084532,Feng yue (1996),1996,Drama
1935417,"GR: USD 69,941,544 (USA) (23 November 1986)",69941544,Ferris Bueller's Day Off (1986),1986,Comedy
1935619,"GR: USD 1,647,780 (USA) (21 February 1999)",1647780,Festen (1998),1998,Drama
1936069,"GR: USD 13,600 (USA) (17 September 2000)",13600,Fever Pitch (1997),1997,Comedy
1936478,"GR: USD 9,202,671 (USA) (2 March 1997)",9202671,Fierce Creatures (1997),1997,Comedy
1936800,"GR: USD 37,030,102 (USA) (5 March 2000)",37030102,Fight Club (1999),1999,Drama
1938005,"GR: USD 36,662 (USA) (15 August 1999)",36662,"Fin aout, d�but septembre (1998)",1998,Drama
1938142,"GR: USD 53,302,314 (USA) (13 August 2000)",53302314,Final Destination (2000),2000,Horror
1938743,"GR: USD 26,909 (USA) (14 November 1999)",26909,Finding North (1998),1998,Comedy
1939369,"GR: USD 16,148,906 (USA) (26 October 1997)",16148906,Fire Down Below (1997),1997,Action
1939666,"GR: USD 784,419 (USA) (27 December 1998)",784419,Firelight (1997),1997,Drama
1939754,"GR: USD 15,100,000 (USA)",15100000,Firestarter (1984),1984,Sci-Fi
1939762,"GR: USD 8,041,665 (USA) (8 February 1998)",8041665,Firestorm (1998),1998,Action
1939900,"GR: USD 47,212,904 (USA) (6 February 1983)",47212904,First Blood (1982),1982,Action
1940096,"GR: USD 26,459,681 (USA) (26 January 1997)",26459681,First Kid (1996),1996,Comedy
1940121,"GR: USD 37,600,435 (USA)",37600435,First Knight (1995),1995,Adventure
1940174,"GR: USD 40,542 (USA) (11 October 1998)",40542,"First Love, Last Rites (1997)",1997,Drama
1941100,"GR: USD 18,099,091 (USA) (1971)",18099091,Five Easy Pieces (1970),1970,Drama
1941271,"GR: USD 4,450 (USA) (17 October 1999)",4450,"Five Wives, Three Secretaries and Me (1998)",1998,Comedy
1941902,"GR: USD 94,900,000 (USA)",94900000,Flashdance (1983),1983,Drama
1942017,"GR: USD 61,490,000 (USA)",61490000,Flatliners (1990),1990,Drama
1942058,"GR: USD 4,485,485 (USA) (5 March 2000)",4485485,Flawless (1999),1999,Comedy
1942083,"GR: USD 17,095,268 (USA) (22 September 1996)",17095268,Fled (1996),1996,Action
1942296,"GR: USD 46,700,000 (USA)",46700000,Fletch (1985),1985,Comedy
1942625,"GR: USD 15,676,622 (USA) (1 September 1986)",15676622,Flight of the Navigator (1986),1986,Adventure
1942758,"GR: USD 20,047,715 (USA) (18 August 1996)",20047715,Flipper (1996),1996,Adventure
1942787,"GR: USD 76,875 (USA) (25 August 1996)",76875,Flirt (1995),1995,Drama
1942828,"GR: USD 14,891,000 (USA)",14891000,Flirting with Disaster (1996),1996,Comedy
1943470,"GR: USD 92,969,824 (USA) (26 April 1998)",92969824,Flubber (1997),1997,Comedy
1943718,"GR: USD 24,506,082 (USA) (12 January 1997)",24506082,Fly Away Home (1996),1996,Adventure
1944510,"GR: USD 48,482 (USA) (14 October 1999)",48482,Following (1998),1998,Crime
1944862,"GR: USD 6,026,908 (USA) (18 July 1999)",6026908,Foolish (1999),1999,Comedy
1944905,"GR: USD 29,291,566 (USA) (13 July 1997)",29291566,Fools Rush In (1997),1997,Comedy
1945150,"GR: USD 75,846,770 (USA) (17 June 1984)",75846770,Footloose (1984),1984,Drama
1945248,"GR: USD 770,132 (USA)",770132,For All Mankind (1989),1989,Documentary
1945579,"GR: USD 35,168,395 (USA) (28 November 1999)",35168395,For Love of the Game (1999),1999,Drama
1945700,"GR: USD 31,611,225 (USA) (15 March 1998)",31611225,For Richer or Poorer (1997),1997,Comedy
1946023,"GR: USD 17,732,000 (USA)",17732000,For the Love of Benji (1977),1977,Adventure
1946107,"GR: USD 121,548 (USA)",121548,For the Moment (1993),1993,Drama
1946379,"GR: USD 7,100,000 (USA)",7100000,Force 10 from Navarone (1978),1978,Action
1946463,"GR: USD 52,878,756 (USA) (4 July 1999)",52878756,Forces of Nature (1999),1999,Comedy
1946595,"GR: USD 113,727 (USA)",113727,Foreign Student (1994),1994,Drama
1946833,"GR: USD 55,956,200 (USA)",55956200,Forever Young (1992),1992,Drama
1947355,"GR: USD 329,691,196 (USA)",329691196,Forrest Gump (1994),1994,Drama
1948277,"GR: USD 4,301,331 (USA)",4301331,Four Rooms (1995),1995,Comedy
1948340,"GR: USD 52,700,832 (USA)",52700832,Four Weddings and a Funeral (1994),1994,Comedy
1948561,"GR: USD 258,263 (USA) (1 September 1996)",258263,Foxfire (1996),1996,Drama
1949144,"GR: USD 108,488 (USA) (9 January 1983)",108488,Frances (1982),1982,Biography
1949508,"GR: USD 22,006,296 (USA)",22006296,Frankenstein (1994),1994,Drama
1949624,"GR: USD 78,168 (USA)",78168,Frankie Starlight (1995),1995,Drama
1950466,"GR: USD 34,868,327 (USA) (12 January 1992)",34868327,Freddy's Dead: The Final Nightmare (1991),1991,Horror
1950577,"GR: USD 30,193 (USA) (27 June 1999)",30193,Free Enterprise (1998),1998,Comedy
1950688,"GR: USD 77,698,625 (USA)",77698625,Free Willy (1993),1993,Adventure
1950689,"GR: USD 30,077,111 (USA)",30077111,Free Willy 2: The Adventure Home (1995),1995,Adventure
1950690,"GR: USD 3,519,178 (USA) (21 September 1997)",3519178,Free Willy 3: The Rescue (1997),1997,Adventure
1951003,"GR: USD 295,493 (USA) (13 March 1997)",295493,Freeway (1996),1996,Comedy
1951279,"GR: USD 38,900,000 (USA)",38900000,French Kiss (1995),1995,Comedy
1951390,"GR: USD 16,000,000 (Worldwide) (January 1989)",16000000,Frenzy (1972),1972,Crime
1951397,"GR: USD 44,983,704 (USA) (10 September 2000)",44983704,Frequency (2000),2000,Crime
1951417,"GR: USD 2,080,805 (USA)",2080805,Fresa y chocolate (1993),1993,Comedy
1951428,"GR: USD 8,094,616 (USA)",8094616,Fresh (1994),1994,Crime
1951984,"GR: USD 5,816,321 (USA) (11 May 1980)",5816321,Friday the 13th (1980),1980,Horror
1951988,"GR: USD 6,429,784 (USA) (3 May 1981)",6429784,Friday the 13th Part 2 (1981),1981,Horror
1951989,"GR: USD 33,312,481 (USA) (17 October 1983)",33312481,Friday the 13th Part III (1982),1982,Horror
1951990,"GR: USD 19,069,488 (USA) (26 June 1988)",19069488,Friday the 13th Part VII: The New Blood (1988),1988,Horror
1951991,"GR: USD 14,335,525 (USA) (15 October 1989)",14335525,Friday the 13th Part VIII: Jason Takes Manhattan (1989),1989,Horror
1951993,"GR: USD 20,674,880 (USA) (21 April 1985)",20674880,Friday the 13th: A New Beginning (1985),1985,Horror
1952001,"GR: USD 30,393,007 (USA) (20 May 1984)",30393007,Friday the 13th: The Final Chapter (1984),1984,Horror
1952201,"GR: USD 94,633 (USA) (9 May 1999)",94633,Friends & Lovers (1999),1999,Comedy
1952386,"GR: USD 24,922,237 (USA) (22 September 1985)",24922237,Fright Night (1985),1985,Comedy
1952676,"GR: USD 20,693 (USA) (30 May 1999)",20693,Frogs for Snakes (1998),1998,Comedy
1952847,"GR: USD 25,753,840 (USA)",25753840,From Dusk Till Dawn (1996),1996,Action
1953106,"GR: USD 24,796,765 (USA)",24796765,From Russia with Love (1963),1963,Action
1955153,"GR: USD 46,357,676 (USA)",46357676,Full Metal Jacket (1987),1987,Drama
1955728,"GR: USD 532,268 (USA)",532268,Funny Bones (1995),1995,Comedy
1957184,"GR: USD 48,154,732 (USA) (21 December 1997)",48154732,G.I. Jane (1997),1997,Action
1957472,"GR: USD 273,967 (USA) (10 August 1997) (re-issue)",273967,Gabbeh (1996),1996,Drama
1958267,"GR: USD 71,423,726 (USA) (30 April 2000)",71423726,Galaxy Quest (1999),1999,Adventure
1959117,"GR: USD 52,767,889 (USA) (12 June 1983)",52767889,Gandhi (1982),1982,Biography
1959300,"GR: USD 5,790,448 (USA) (9 November 1997)",5790448,Gang Related (1997),1997,Crime
1960768,"GR: USD 12,339,633 (USA) (1 March 1998)",12339633,Gattaca (1997),1997,Drama
1961185,"GR: USD 1,400,000 (USA)",1400000,Gazon maudit (1995),1995,Comedy
1962315,"GR: USD 6,002 (USA) (9 April 2000)",6002,Gendernauts - Eine Reise durch die Geschlechter (1999),1999,Documentary
1963417,"GR: USD 105,263,257 (USA) (4 January 1998)",105263257,George of the Jungle (1997),1997,Action
1963756,"GR: USD 378,854 (USA)",378854,Germinal (1993),1993,Drama
1963794,"GR: USD 13,736,475 (USA)",13736475,Geronimo: An American Legend (1993),1993,Drama
1964069,"GR: USD 43,155 (USA) (3 October 1999)",43155,Get Bruce (1999),1999,Documentary
1964074,"GR: USD 14,967,182 (USA) (10 December 2000)",14967182,Get Carter (2000),2000,Action
1964339,"GR: USD 5,731,103 (USA) (17 November 1996)",5731103,Get on the Bus (1996),1996,Drama
1964209,"GR: USD 1,152,411 (USA) (12 September 1999)",1152411,Get Real (1998),1998,Comedy
1964242,"GR: USD 72,077,000 (USA)",72077000,Get Shorty (1995),1995,Comedy
1964467,"GR: USD 197,322 (USA)",197322,Getting Away with Murder (1996),1996,Comedy
1965214,"GR: USD 217,631,306 (USA)",217631306,Ghost (1990),1990,Drama
1965236,"GR: USD 238,632,124 (USA) (3 October 1985)",238632124,Ghost Busters (1984),1984,Comedy
1965261,"GR: USD 3,300,230 (USA) (9 July 2000)",3300230,Ghost Dog: The Way of the Samurai (1999),1999,Action
1965516,"GR: USD 112,494,738 (USA)",112494738,Ghostbusters II (1989),1989,Action
1965632,"GR: USD 13,052,741 (USA) (16 March 1997)",13052741,Ghosts of Mississippi (1996),1996,Drama
1965850,"GR: USD 169,928 (USA) (20 October 1996)",169928,Giant (1956),1956,Drama
1966580,"GR: USD 14,511,338 (USA) (23 February 1997)",14511338,Ging chaat goo si 4: Ji gaan daan yam mo (1996),1996,Action
1966583,"GR: USD 16,249,557 (USA) (17 November 1996)",16249557,Ging chat goo si 3: Chiu kup ging chat (1992),1992,Action
1967379,"GR: USD 28,871,190 (USA) (30 April 2000)",28871190,"Girl, Interrupted (1999)",1999,Biography
1967389,"GR: USD 1,523,941 (USA) (19 November 2000)",1523941,Girlfight (2000),2000,Drama
1967955,"GR: USD 403,311 (USA) (22 September 1996)",403311,Girls Town (1996),1996,Comedy
1968813,"GR: USD 187,705,427 (USA) (27 April 2013)",187705427,Gladiator (2000),2000,Action
1969197,"GR: USD 10,725,228 (USA)",10725228,Glengarry Glen Ross (1992),1992,Drama
1969753,"GR: USD 4,155,234 (USA) (14 March 1999)",4155234,Gloria (1999),1999,Crime
1970159,"GR: USD 16,842,303 (USA) (1 August 1999)",16842303,Go (1999),1999,Comedy
1970215,"GR: USD 2,408,311 (USA)",2408311,Go Fish (1994),1994,Drama
1970505,"GR: USD 277,233 (USA) (12 November 2000)",277233,Goat on Fire and Smiling Fish (1999),1999,Comedy
1970696,"GR: USD 52,324 (USA) (14 March 1999)",52324,"God Said, 'Ha!' (1998)",1998,Comedy
1971093,"GR: USD 6,390,032 (USA) (23 May 1999)",6390032,Gods and Monsters (1998),1998,Biography
1971149,"GR: USD 136,023,813 (USA) (13 September 1998)",136023813,Godzilla (1998),1998,Action
1971706,"GR: USD 412,520 (USA) (19 December 2004)",412520,Gojira (1954),1954,Drama
1971712,"GR: USD 10,037,390 (USA) (10 December 2000)",10037390,Gojira ni-sen mireniamu (1999),1999,Action
1972287,"GR: USD 99,929,196 (USA) (21 January 1996)",99929196,GoldenEye (1995),1995,Action
1972324,"GR: USD 51,081,062 (USA)",51081062,Goldfinger (1964),1964,Action
1972807,"GR: USD 19,736,932 (USA) (21 September 1997)",19736932,Gone Fishin' (1997),1997,Comedy
1972884,"GR: USD 198,655,278 (USA) (15 November 1998) (re-issue)",198655278,Gone with the Wind (1939),1939,Drama
1973432,"GR: USD 123,922,370 (USA)",123922370,"Good Morning, Vietnam (1987)",1987,Comedy
1973625,"GR: USD 138,339,411 (USA) (26 July 1998)",138339411,Good Will Hunting (1997),1997,Drama
1973808,"GR: USD 1,923,061 (USA) (23 May 1999)",1923061,Goodbye Lover (1998),1998,Comedy
1973922,"GR: USD 46,836,394 (USA)",46836394,Goodfellas (1990),1990,Biography
1974519,"GR: USD 381,804 (USA)",381804,Gospa (1995),1995,Drama
1974984,"GR: USD 716,592 (USA) (21 January 2001)",716592,Goya en Burdeos (1999),1999,Biography
1975181,"GR: USD 617,632 (USA) (6 October 1996)",617632,Grace of My Heart (1996),1996,Comedy
1975664,"GR: USD 1,235,000 (USA)",1235000,Grand Hotel (1932),1932,Drama
1976109,"GR: USD 4,743,119 (USA) (12 August 1984)",4743119,"Grandview, U.S.A. (1984)",1984,Drama
1976610,"GR: USD 305,260 (USA) (8 August 2010)",305260,Grease (1978),1978,Musical
1976612,"GR: USD 11,045,234 (USA) (27 June 1982)",11045234,Grease 2 (1982),1982,Comedy
1976777,"GR: USD 26,333,044 (USA) (29 March 1998)",26333044,Great Expectations (1998),1998,Drama
1977589,"GR: USD 153,083,102 (USA) (1985)",153083102,Gremlins (1984),1984,Comedy
1977592,"GR: USD 41,482,207 (USA)",41482207,Gremlins 2: The New Batch (1990),1990,Comedy
1977857,"GR: USD 5,479,037 (USA) (23 February 1997)",5479037,Gridlock'd (1997),1997,Comedy
1978263,"GR: USD 1,114,943 (USA) (12 November 2000)",1114943,Groove (2000),2000,Drama
1978312,"GR: USD 551,359 (USA)",551359,Grosse fatigue (1994),1994,Comedy
1978309,"GR: USD 28,014,536 (USA) (10 August 1997)",28014536,Grosse Pointe Blank (1997),1997,Action
1978415,"GR: USD 70,835,374 (USA) (1 August 1993)",70835374,Groundhog Day (1993),1993,Comedy
1978782,"GR: USD 70,172,621 (USA)",70172621,Grumpy Old Men (1993),1993,Comedy
1979111,"GR: USD 751,478 (USA) (7 December 1997)",751478,Guantanamera (1995),1995,Comedy
1979447,"GR: USD 56,700,000 (USA)",56700000,Guess Who's Coming to Dinner (1967),1967,Drama
1979839,"GR: USD 22,886,222 (USA)",22886222,Guilty as Sin (1993),1993,Crime
1979883,"GR: USD 614,202 (USA) (7 November 1999)",614202,Guinevere (1999),1999,Drama
1980267,"GR: USD 1,631,839 (USA) (11 June 2000)",1631839,Gun Shy (2000),2000,Comedy
1980412,"GR: USD 36,570,775 (USA) (13 July 1986)",36570775,Gung Ho (1986),1986,Comedy
1983455,"GR: USD 6,351,909 (USA) (5 June 1988)",6351909,Hairspray (1988),1988,Comedy
1983617,"GR: USD 12,491,455 (USA) (1 August 1999)",12491455,Hak hap (1996),1996,Action
1983859,"GR: USD 17,278,980 (USA) (8 March 1998)",17278980,Half Baked (1998),1998,Comedy
1984278,"GR: USD 47,000,000 (USA)",47000000,Halloween (1978),1978,Horror
1984283,"GR: USD 17,768,757 (USA) (13 November 1988)",17768757,Halloween 4: The Return of Michael Myers (1988),1988,Horror
1984305,"GR: USD 55,004,135 (USA) (29 November 1998)",55004135,Halloween H20: 20 Years Later (1998),1998,Drama
1984320,"GR: USD 20,470,309 (USA) (29 November 1981)",20470309,Halloween II (1981),1981,Horror
1984323,"GR: USD 12,827,446 (USA) (7 November 1983)",12827446,Halloween III: Season of the Witch (1982),1982,Horror
1984372,"GR: USD 15,106,362 (USA) (12 November 1995)",15106362,Halloween: The Curse of Michael Myers (1995),1995,Horror
1984593,"GR: USD 655,078 (USA) (7 May 2000)",655078,Hamam (1997),1997,Drama
1984792,"GR: USD 4,414,535 (USA) (13 April 1997)",4414535,Hamlet (1996),1996,Crime
1984793,"GR: USD 1,568,749 (USA) (13 August 2000)",1568749,Hamlet (2000),2000,Drama
1985138,"GR: USD 233,986 (USA) (12 April 1998)",233986,Hana-bi (1997),1997,Crime
1985443,"GR: USD 815,530 (USA)",815530,Handle with Care (1977),1977,Comedy
1985576,"GR: USD 492,876 (USA) (13 June 1999)",492876,Hands on a Hard Body: The Documentary (1997),1997,Documentary
1985755,"GR: USD 36,037,909 (USA) (28 May 2000)",36037909,Hanging Up (2000),2000,Comedy
1986482,"GR: USD 2,746,453 (USA) (24 January 1999)",2746453,Happiness (1998),1998,Comedy
1987126,"GR: USD 1,943,649 (USA) (19 December 1999)",1943649,"Happy, Texas (1999)",1999,Comedy
1987387,"GR: USD 17,012 (USA) (27 June 1999)",17012,Hard Core Logo (1996),1996,Comedy
1987547,"GR: USD 19,819,494 (USA) (19 April 1998)",19819494,Hard Rain (1998),1998,Action
1987607,"GR: USD 32,534,954 (USA)",32534954,Hard Target (1993),1993,Action
1988448,"GR: USD 26,539,321 (USA) (10 November 1996)",26539321,Harriet the Spy (1996),1996,Comedy
1989616,"GR: USD 7,348,798 (USA) (24 August 1986)",7348798,Haunted Honeymoon (1986),1986,Comedy
1989826,"GR: USD 2,301,777 (USA) (26 July 1998)",2301777,Hav Plenty (1997),1997,Comedy
