movieid,title,year,genres,Currency,Budget,Adjusted_Budget,Gross_Revenue,Adjusted_Gross_Revenue,Additional_Data,Copyright
1721919,American Graffiti (1973),1973,"Comedy, Drama",USD,"777,000.00","5,603,735.13","21,300,000.00","153,615,905.15","1,100,000 (Sweden) | 1,075,976 (Sweden)",COPYRIGHT © MCMLXXIII BY UNIVERSAL PICTURES ALL RIGHTS RESERVED
1999241,High Plains Drifter (1973),1973,Western,,,,"15,700,000.00","113,228,624.92","159,233 (Sweden)",© MCMLXXII by Universal Pictures and The Malpaso Company All Rights Reserved
2305931,Robin Hood (1973),1973,"Adventure, Animation, Comedy, Family, Romance",USD,"15,000,000.00","108,180,214.90","32,056,467.00","231,191,699.26","3,881,600 (France) (14 November 2007) | 816,000 (Sweden)",Walt Disney Productions; 25 October 1973; LP42905 (in copyright registry)
2246675,Papillon (1973),1973,"Biography, Crime, Drama",USD,"12,000,000.00","86,544,171.92","53,267,000.00","384,162,367.12","3,852,000 (France) | 785,000 (Sweden) | 8,500,000 (West Germany)",© COPYRIGHT 1973 PAPILLON PARTNERSHIP ALL RIGHTS RESERVED
2131729,Live and Let Die (1973),1973,"Action, Crime, Thriller",USD,"7,000,000.00","50,484,100.28","35,377,836.00","255,145,460.07","20,100,000 (USA) | 954,000 (Sweden)",LIVE AND LET DIE Copyright © MCMLXXIII Danjaq S.A. All Rights Reserved
2094426,La grande bouffe (1973),1973,"Comedy, Drama",,,,"837,872.00","6,042,744.87","2,801,657 (France) | 3,080,175 (Germany) | 83,102 (Sweden)",Mara Films - Les Films 66 - Capitolina Produzzioni Cinématografiche
2430234,The Exorcist (1973),1973,"Horror, Thriller",USD,"10,497,444.00","75,707,716.52","204,565,000.00","1,475,325,710.67","1,020,734 (Argentina) (8 May 2001) | 1,261,061 (France) (24 April 2001) | 1,249,778 (France) (17 April 2001) | 1,226,509 (France) (10 April 2001) | 1,172,332 (France) (3 April 2001) | 1,032,045 (France) (27 March 2001) | 621,727 (France) (20 March 2001) | 4,808,160 (Spain) (26 September 2003) | 2,037,399 (Spain) (10 August 2002) (director's cut) | 2,016,322 (Spain) (25 June 2001) (director's cut) | 2,343,845 (Spain) (31 December 1977) | 601,000 (Sweden)",Warner Bros. Inc. and Hoya Productions Inc.; 26 December 1973; LP42969 (in copyright registry)
2481665,The Sting (1973),1973,"Comedy, Crime, Drama",USD,"5,500,000.00","39,666,078.79","156,000,000.00","1,125,074,234.91","1,320,700 (Argentina) | 1,100,000 (Sweden)",©MCMLXXIII BY UNIVERSAL PICTURES. All Rights Reserved (on print); Universal Pictures; 25 December 1973; LP43548 (in copyright registry)
2334625,Serpico (1973),1973,"Biography, Crime, Drama",,,,"27,274,150.00","196,701,560.54",,Copyright 1973 © Produzioni De Laurentiis Inter.
2500912,Thunderbolt and Lightfoot (1974),1974,"Comedy, Crime, Drama",USD,"4,000,000.00","26,539,151.15","25,000,000.00","165,869,694.72","531,947 (France) (1974)",© 1974 Malpaso Productions
1763877,Benji (1974),1974,"Adventure, Family, Romance",USD,"500,000.00","3,317,393.89","39,552,600.00","262,423,107.49",,
1898372,Earthquake (1974),1974,"Action, Drama, Thriller",USD,"7,000,000.00","46,443,514.52","79,700,000.00","528,792,586.76",,COPYRIGHT © MCMLXXIV BY UNIVERSAL PICTURES ALL RIGHTS RESERVED
1972854,Gone in 60 Seconds (1974),1974,"Action, Crime, Drama",,,,"4,009,703.00","26,603,528.50","329,890 (Sweden)",Denice Shakrian-Halicki
1992100,Hearts and Minds (1974),1974,"Documentary, War",,,,"28,287.00","187,678.24",,
1776556,Blazing Saddles (1974),1974,"Comedy, Western",USD,"2,600,000.00","17,250,448.25","119,500,000.00","792,857,140.75",,© Copyright MCMLXXIV by Warner Bros. Inc. (on print)
2583633,Young Frankenstein (1974),1974,Comedy,USD,"2,800,000.00","18,577,405.81","86,300,000.00","572,582,186.17","566,000 (Sweden)",copyright MCMLXXIV Twentieth Century-Fox Film Corporation
2421643,The Conversation (1974),1974,"Drama, Mystery, Thriller",USD,"1,600,000.00","10,615,660.46","4,420,000.00","29,325,762.03",,Copyright © 1974 by Paramount Pictures Corporation (on print); Paramount Pictures Corporation; 6 April 1974; LP43355) (in copyright registry)
1996227,Herbie Rides Again (1974),1974,"Comedy, Family, Fantasy, Romance",,,,"38,229,000.00","253,641,302.38",,©1974 Walt Disney Productions
1816691,Chinatown (1974),1974,"Crime, Drama, Mystery, Thriller",USD,"6,000,000.00","39,808,726.73","30,000,000.00","199,043,633.66",,Copyright ©1974 by Long Road Productions. (on print); Long Road Productions; 20 June 1974; LP43628 (in copyright registry)
1711398,Airport 1975 (1974),1974,"Action, Drama, Thriller",USD,"3,000,000.00","19,904,363.37","47,285,152.00","313,726,949.08","260,926 (Sweden)",© MCMLXXIV BY UNIVERSAL PICTURES. (on print)
2456586,The Man with the Golden Gun (1974),1974,"Action, Adventure, Crime, Thriller",USD,"13,000,000.00","86,252,241.25","20,972,000.00","139,144,769.51","10,250,000 (USA) | 644,000 (Sweden)",THE MAN WITH THE GOLDEN GUN Copyright © MCMLXXIV Danjaq S.A. All Rights Reserved
2483838,The Taking of Pelham One Two Three (1974),1974,"Crime, Drama, Thriller",,,,"1,003,937.00","6,660,908.95","85,463 (Sweden)",Copyright © United Artists Corporation MCMLXXIV
2437299,The Godfather: Part II (1974),1974,"Crime, Drama",USD,"13,000,000.00","86,252,241.25","57,300,000.00","380,173,340.29","1,850,970 (Argentina) | 1,328,923 (Spain) | 275,833 (Sweden)",Copyright © 1974 by Paramount Pictures Corporation and The Coppola Company (on print); Paramount Pictures Corporation and The Coppola Company; 9 December 1974; LP44010 (in copyright registry)
2234951,Open Season (1974),1974,"Action, Drama, Thriller",,,,"35,587,591.00","236,116,114.20","618,545 (Spain) (31 August 1999)",
2482984,The Sugarland Express (1974),1974,"Adventure, Comedy, Crime, Drama",USD,"3,000,000.00","19,904,363.37","7,500,000.00","49,760,908.42",,Universal Pictures; 31 March 1974; LP3768 (in copyright registry)
2486246,The Towering Inferno (1974),1974,"Action, Thriller",USD,"14,000,000.00","92,887,029.04","116,000,000.00","769,635,383.49","884,000 (Sweden)",Copyright © MCMLXXIV by Twentieth Century-Fox Film Corporation and Warner Bros. Inc. All Rights Reserved
2026671,Il portiere di notte (1974),1974,Drama,,,,"1,556,471.00","10,326,854.78","119,845 (Sweden)",
1858357,Death Wish (1974),1974,"Crime, Drama, Thriller",USD,"3,000,000.00","19,904,363.37","22,000,000.00","145,965,331.35","1,561,266 (France) | 650,605 (Hungary) | 843,943 (Spain) | 3,600,000 (West Germany)",COPYRIGHT© DINO DE LAURENTIIS CORPORATION MCMLXXIV
2339246,Shampoo (1975),1975,"Drama, Romance",,,,"49,407,734.00","291,905,458.78",,Copyright © MCMLXXV by Vista Company All Rights Reserved (on print); Vista Company; 11 February 1975; LP44349; Persky-Bright; 11 February 1975; LP44349 (in copyright registry)
2140806,Love and Death (1975),1975,"Comedy, War",USD,"3,000,000.00","17,724,277.26","20,123,742.00","118,892,927.59",,Jack Rollins-Charles H. Joffe Productions; 9 June 1975; LP44886 (in copyright registry)
1883995,Dog Day Afternoon (1975),1975,"Crime, Drama",,,,"50,000,000.00","295,404,621.05",,Warner Bros. Inc.
2259508,Picnic at Hanging Rock (1975),1975,"Drama, Horror, Mystery",AUD,"440,000.00","2,599,560.67","84,744.00","500,675.38",,"Picnic Productions Pty. Ltd., 1975"
2201727,Nashville (1975),1975,"Drama, Music",USD,"2,200,000.00","12,997,803.33","9,984,123.00","58,987,121.43",,"Copyright ©MCMLXXV American Broadcasting Company, Inc."
2231909,One Flew Over the Cuckoo's Nest (1975),1975,Drama,USD,"4,400,000.00","25,995,606.65","112,000,000.00","661,706,351.15","1,119,769 (Denmark) | 199,306 (Spain) (1987) (reissue) | 3,677,050 (Spain) (1975) (release) | 1,005,303 (Sweden) (1976)",COPYRIGHT © 1975 BY N.V. ZWALUW. ALL RIGHTS RESERVED. (on print)
2183254,Monty Python and the Holy Grail (1975),1975,"Adventure, Comedy, Fantasy",GBP,"229,575.00","1,356,350.32","1,229,197.00","7,262,209.48","1,020,065 (Spain) (10 August 2002) | 72,656 (Sweden)",Copyright © 1974 National Film Trustee Company Limited. All rights reserved.
2508085,Tommy (1975),1975,"Drama, Fantasy, Musical",USD,"5,000,000.00","29,540,462.10","1,152,866.00","6,811,238.88","85,454 (Sweden)",© 1975 The Robert Stigwood Organisation Ltd.
1756391,Barry Lyndon (1975),1975,"Adventure, Drama, Romance, War",USD,"11,000,000.00","64,989,016.63","20,000,000.00","118,161,848.42","1,000,000 (Germany) | 1,357,139 (Spain) (20 December 2002)",Copyright 1975 Hawk Films/Warner Bros.
2499368,Three Days of the Condor (1975),1975,"Drama, Mystery, Romance, Thriller",,,,"41,509,797.00","245,243,717.05","254,404 (Sweden)",Copyright © MCMLXXV Dino Di Laurentiis Corporation
2472800,The Return of the Pink Panther (1975),1975,"Comedy, Crime, Mystery",USD,"5,000,000.00","29,540,462.10","17,000,000.00","100,437,571.16","184,034 (Sweden)",(c) 1975 United Artists Corporation
2474100,The Rocky Horror Picture Show (1975),1975,"Comedy, Musical",USD,"1,200,000.00","7,089,710.91","139,876,417.00","826,402,799.15",,©MCMLXXV Houtsnede Maatschappij N.V.
2048619,Jaws (1975),1975,"Adventure, Horror, Thriller",USD,"8,000,000.00","47,264,739.37","23,652,570.00","139,741,569.55","6,261,327 (France) (1976) | 5,880,000 (Germany) | 1,567,612 (Hungary) | 1,300,000 (Sweden)",© MCMLXXV by Universal Pictures. All rights reserved. (on print); Universal City Studios; 20 June 1975; LP44550 (in copyright registry)
2463624,The Omen (1976),1976,"Horror, Mystery",USD,"2,800,000.00","15,474,891.28","4,273,886.00","23,620,686.14",,Original Music © 1976 Fox Fanfare Music Inc.
1805225,Carrie (1976),1976,"Horror, Thriller",USD,"1,800,000.00","9,948,144.39","33,800,000.00","186,804,044.74","1,540,760 (Argentina) | 1,460,913 (Spain)",COPYRIGHT ©MCMLXXVI UNITED ARTISTS CORPORATION ALL RIGHTS RESERVED
1950286,Freaky Friday (1976),1976,"Comedy, Family, Fantasy",,,,"25,942,000.00","143,374,867.71",,COPYRIGHT MCMLXXVI - WALT DISNEY PRODUCTIONS - ALL RIGHTS RESERVED
1740811,Assault on Precinct 13 (1976),1976,"Action, Thriller",USD,"150,000.00","829,012.03","273,623.00","1,512,245.06",,© MCMLXXVI C K K Corporation
2464699,The Outlaw Josey Wales (1976),1976,Western,,,,"31,800,000.00","175,750,550.97",,COPYRIGHT © MCMLXXVI BY WARNER BROS. INC. ALL RIGHTS RESERVED
1930227,Family Plot (1976),1976,"Comedy, Thriller",USD,"4,490,375.00","24,817,166.05","13,200,000.00","72,953,058.89",,"© COPYRIGHT MCMLXXVI BY UNIVERSAL PICTURES. ALL RIGHTS RESERVED (on print); Universal City Studios, LLLP; 9 April 1976; LP45934 (in copyright registry)"
2157118,Marathon Man (1976),1976,Thriller,,,,"21,709,020.00","119,980,258.68",,Copyright © 1976 Gelderse Maatschappij N.V. (on print)
2072510,King Kong (1976),1976,"Adventure, Fantasy, Romance, Sci-Fi, Thriller",USD,"24,000,000.00","132,641,925.26","7,023,921.00","38,819,433.51","80,705 (Sweden) (1976)",© Copyright 1976 by Dino De Laurentiis Corp.
1710622,Ai no korîda (1976),1976,"Drama, History, Romance",,,,"1,424,906.00","7,875,094.80","96,503 (Sweden)",
2206242,Network (1976),1976,Drama,USD,"3,800,000.00","21,001,638.17","23,689,877.00","130,927,953.94","84,026 (Hungary)","© Renewed 2004 by Turner Entertainment Company, a Time Warner Company & Metro-Goldwyn-Mayer Studios, Inc."
2307228,Rocky (1976),1976,"Drama, Sport",USD,"1,100,000.00","6,079,421.57","117,235,247.00","647,929,536.27","608,000 (Sweden)",United Artists Corp.; 1 November 1976; LP47252 (in copyright registry)
2397128,Taxi Driver (1976),1976,"Crime, Drama",USD,"1,300,000.00","7,184,770.95","28,262,574.00","156,200,092.84","1,200,000 (Germany)","Copyright © MCMLXXVI by Columbia Pictures Industries, Inc. All Rights Reserved (on print)"
2133798,Logan's Run (1976),1976,"Action, Sci-Fi",USD,"9,000,000.00","49,740,721.97","25,000,000.00","138,168,672.15",,© MCMLXXVI By Metro-Goldwyn-Mayer Inc. All rights in this Motion Picture reserved under International Conventions
2578330,Xing xing wang (1977),1977,"Action, Adventure, Horror, Sci-Fi",HKD,"6,000,000.00","31,611,516.98","15,950.00","84,033.95",,
2257129,Pete's Dragon (1977),1977,"Adventure, Family, Fantasy, Musical",USD,"10,000,000.00","52,685,861.64","4,100,000.00","21,601,203.27",,Copyright MCMLXXVII Walt Disney Productions
1985443,Handle with Care (1977),1977,"Comedy, Drama",,,,"815,530.00","4,296,690.07",,
2472465,The Rescuers (1977),1977,"Adventure, Animation, Crime, Drama, Family, Fantasy, Mystery",USD,"1,200,000.00","6,322,303.40","21,215,869.00","111,777,633.87","247,531 (Spain) (1989) | 152,242 (Spain) (1983) | 551,288 (Spain) (1977) | 738,281 (Sweden)","© Copyright 1977 Walt Disney Productions (on print); Disney Enterprises, Inc.; 21 June 1977; LP49678 (in copyright registry)"
1946023,For the Love of Benji (1977),1977,"Adventure, Comedy, Drama, Family",,,,"17,732,000.00","93,422,569.86",,
2307985,Rollercoaster (1977),1977,Thriller,,,,"1,710,595.00","9,012,417.15",,
1918312,Eraserhead (1977),1977,"Fantasy, Horror",USD,"20,000.00","105,371.72","7,000,000.00","36,880,103.15","122,507 (France)",(1976) David Lynch
2437961,The Goodbye Girl (1977),1977,"Comedy, Drama, Romance",,,,"102,000,000.00","537,395,788.71",,©1977 by Metro-Goldwyn-Mayer Inc. and Warner Bros. Inc. (on print)
1823865,Close Encounters of the Third Kind (1977),1977,"Adventure, Drama, Sci-Fi",USD,"19,400,870.00","102,215,155.25","15,693,175.00","82,680,844.67","3,094,000 (France) | 448,118 (Sweden)","Copyright ©1977. 1980 Columbia Pictures Industries, Inc. All Rights Reserved"
1996223,Herbie Goes to Monte Carlo (1977),1977,"Action, Adventure, Comedy, Family, Romance",,,,"28,000,000.00","147,520,412.59",,© COPYRIGHT MCMLXXVII WALT DISNEY PRODUCTIONS ALL RIGHTS RESERVED
2481073,The Spy Who Loved Me (1977),1977,"Action, Adventure, Crime, Thriller",USD,"14,000,000.00","73,760,206.29","1,539,734.00","8,112,221.25","21,000,000 (USA) | 812,000 (Sweden)",THE SPY WHO LOVED ME Copyright © MCMLXXVII Danjaq S.A. All rights reserved
1730975,Annie Hall (1977),1977,"Comedy, Drama, Romance",USD,"4,000,000.00","21,074,344.66","38,251,425.00","201,530,928.50","1,344,539 (France) | 200,544 (Hungary) (1980) | 1,915,584 (Spain) | 291,482 (Sweden)","© 1977 by Metro-Goldwyn-Mayer Studios, Inc."
2446644,The Kentucky Fried Movie (1977),1977,Comedy,USD,"650,000.00","3,424,581.01","15,000,000.00","79,028,792.46",,
2371726,Star Wars (1977),1977,"Action, Adventure, Fantasy, Sci-Fi",USD,"11,000,000.00","57,954,447.80","460,935,665.00","2,428,479,267.02","397,584 (Finland) | 1,619,532 (France) (22 April 1997) (reissue) | 1,118,614 (France) (25 March 1997) (reissue) | 169,944 (France) (18 March 1997) (opening week) (reissue) | 25,050 (France) (12 March 1997) (opening day) (reissue) | 6,414,000 (France) | 1,795,614 (France) (reissue) | 1,062,125 (France) (original release) | 2,087,944 (Germany) (28 April 1997) (special edition) | 1,937,423 (Germany) (14 April 1997) (special edition) | 1,735,931 (Germany) (8 April 1997) (special edition) | 1,365,025 (Germany) (2 April 1997) (special edition) | 660,539 (Germany) (23 March 1997) (special edition) | 85,115 (Portugal) (10 April 1997) (reissue) | 72,119 (Portugal) (3 April 1997) (reissue) | 47,908 (Portugal) (27 March 1997) (reissue) | 6,900,868 (Spain) (13 July 2001) | 6,130,171 (Spain) (20 March 1997) | 5,595,857 (Spain) (1 July 1986) | 534,314 (Spain) (1986) (re-release version to date) | 5,595,857 (Spain) (1977) (release version to date) | 770,542 (Spain) (special edition to date) | 609,000 (Sweden) | 240,583 (Sweden) (reissue)",Twentieth Century-Fox Film Corporation (original version); Lucasfilm Ltd. (special edition)
1925449,Exorcist II: The Heretic (1977),1977,"Horror, Mystery, Thriller",USD,"14,000,000.00","73,760,206.29","6,735,000.00","35,483,927.81",,
1711393,Airport '77 (1977),1977,"Action, Drama, Thriller",,,,"30,000,000.00","158,057,584.91",,
2048622,Jaws 2 (1978),1978,"Horror, Thriller",USD,"20,000,000.00","98,755,129.59","9,866,023.00","48,716,019.00","2,967,354 (France) (1978) | 382,824 (Sweden)","COPYRIGHT © MCMLXXVIII BY UNIVERSAL CITY STUDIOS, INC. ALL RIGHTS RESERVED"
1729818,Animal House (1978),1978,"Comedy, Romance",USD,"3,000,000.00","14,813,269.44","201,747.00","996,177.56","379,493 (Sweden)","Universal City Studios, Inc."
1827432,Coma (1978),1978,"Drama, Mystery, Sci-Fi, Thriller",,,,"1,272,484.00","6,283,216.12","67,844 (Sweden)",© MCMLXXVIII by Metro-Goldwyn-Mayer Inc.
1976610,Grease (1978),1978,"Musical, Romance",USD,"6,000,000.00","29,626,538.88","305,260.00","1,507,299.54","244,213 (Germany) (19 July 1998) | 172,937 (Germany) (12 July 1998) | 70,652 (Germany) (5 July 1998) (opening week) | 1,203,559 (Sweden)",Copyright © MCMLXXVIII by Paramount Pictures Corporation All Rights Reserved (on print)
2057285,Jui kuen (1978),1978,"Action, Comedy",,,,"1,470,389.00","7,260,422.81",,
2384520,Superman (1978),1978,"Action, Adventure, Sci-Fi",USD,"55,000,000.00","271,576,606.38","40,925,251.00","202,078,923.31","5,267,500 (Spain) | 383,346 (Sweden)",Film Export A.G.
1854142,Days of Heaven (1978),1978,"Drama, Romance",USD,"3,000,000.00","14,813,269.44","3,446,749.00","17,019,207.21",,
1984278,Halloween (1978),1978,"Horror, Thriller",USD,"325,000.00","1,604,770.86","47,000,000.00","232,074,554.54","750,000 (Germany) | 118,606 (Sweden)",Falcon International Productions
2558123,Watership Down (1978),1978,"Adventure, Animation, Drama, Fantasy",,,,"4,411,305.00","21,781,949.85","242,023 (Sweden)",© Watership Productions Limited MCMLXXVIII
2016321,Höstsonaten (1978),1978,"Drama, Music",,,,"4,509,704.00","22,267,820.15","253,503 (Sweden)",Personafilm
1992374,Heaven Can Wait (1978),1978,"Comedy, Fantasy, Romance, Sport",,,,"4,192,799.00","20,703,020.43","211,990 (Sweden)",Copyright ©MCMLXXVIII by Shelburne Associates
2434963,The Fury (1978),1978,"Drama, Horror, Sci-Fi, Thriller",USD,"5,500,000.00","27,157,660.64","24,000,000.00","118,506,155.51",,Twentieth Century Fox Film Coorperation
1846390,Damien: Omen II (1978),1978,"Horror, Mystery",,,,"3,880,880.00","19,162,840.37","74,291 (Sweden)",©1978 Twentieth Century-Fox Film Corporation
1946379,Force 10 from Navarone (1978),1978,"Action, Drama, War",USD,"5,000,000.00","24,688,782.40","7,100,000.00","35,058,071.01","311,928 (Sweden)",Copyright © MCMLXXVIII by Navarone Productions Limited. all rights reserved
2261929,Piranha (1978),1978,"Comedy, Horror, Sci-Fi",USD,"600,000.00","2,962,653.89","1,585,673.00","7,829,667.13","89,669 (Sweden)",COPYRIGHT © 1978 PIRANHA PRODUCTIONS
2425222,The Deer Hunter (1978),1978,"Drama, War",USD,"15,000,000.00","74,066,347.19","50,000,000.00","246,887,823.98","800,000 (Germany) | 2,211,025 (Spain) | 414,499 (Sweden) | 342,032 (Sweden)","Copyright ©1978 EMI Films, Inc. All Rights Reserved. (on print)"
1927021,Eyes of Laura Mars (1978),1978,"Horror, Mystery, Thriller",USD,"7,000,000.00","34,564,295.36","20,000,000.00","98,755,129.59",,
2172829,Midnight Express (1978),1978,"Biography, Crime, Drama",USD,"2,300,000.00","11,356,839.90","35,000,000.00","172,821,476.79","275,212 (Sweden)",
2415427,The Boys from Brazil (1978),1978,"Drama, Sci-Fi, Thriller",USD,"12,000,000.00","59,253,077.76","19,000,000.00","93,817,373.11",,ITC Entertainment Ltd.
2452910,The Lord of the Rings (1978),1978,"Adventure, Animation, Drama, Fantasy",USD,"4,000,000.00","19,751,025.92","30,471,420.00","150,460,451.55","259,514 (Sweden)",COPYRIGHT ©1978 BY THE SAUL ZAENTZ PRODUCTION COMPANY
2038091,Interiors (1978),1978,Drama,USD,"10,000,000.00","49,377,564.80","10,432,466.00","51,512,976.59",,Copyright © United Artists Corporation 1978 (on print); United Artists Corporation; 6 December 1978; PA21637 (in copyright registry)
2537149,Up in Smoke (1978),1978,"Comedy, Music",,,,"41,590,893.00","205,365,701.41",,
2148037,Mad Max (1979),1979,"Action, Adventure, Thriller",USD,"650,000.00","2,944,533.68","8,750,000.00","39,637,953.39","3,241,900 (West Germany) (1981)",© 1979 Mad Max Pty Ltd
1762229,Being There (1979),1979,"Comedy, Drama",,,,"30,177,511.00","136,705,688.51",,Lorimar Film - und Fernsehproduktion GmbH
2078857,Kramer vs. Kramer (1979),1979,Drama,,,,"98,982,763.00","448,397,045.30","805,202 (Sweden)","Copyright © 1979 by Columbia Pictures Industries, Inc. (on print); Columbia Pictures Industries, Inc.; 27 December 1979; PA53409 (in copyright registry)"
2438866,The Great Santini (1979),1979,Drama,,,,"4,702,575.00","21,302,908.42",,
1787603,Breaking Away (1979),1979,"Comedy, Drama, Sport",,,,"314,658.00","1,425,417.04",,Copyright © 1979 Twentieth Century-Fox Film Corporation (on print)
2216176,North Dallas Forty (1979),1979,"Comedy, Drama, Sport",,,,"26,079,312.00","118,140,634.69",,
2445757,The Jerk (1979),1979,Comedy,,,,"5,935,025.00","26,885,970.78",,"COPYRIGHT © MCMLXXIX BY UNIVERSAL CITY STUDIOS, INC. ALL RIGHTS RESERVED"
2371692,Star Trek: The Motion Picture (1979),1979,"Adventure, Mystery, Sci-Fi",USD,"35,000,000.00","158,551,813.57","39,658,976.00","179,657,216.26",,Copyright © MCMLXXIX by Century Associates
2307246,Rocky II (1979),1979,"Drama, Sport",USD,"7,000,000.00","31,710,362.71","6,390,537.00","28,949,463.74","166,811 (Sweden)",
2413536,The Black Hole (1979),1979,"Action, Adventure, Family, Sci-Fi",USD,"20,000,000.00","90,601,036.32","35,841,901.00","162,365,668.72","65,059 (Sweden)",©Copyright MCMLXXIX Walt Disney Productions
2460422,The Muppet Movie (1979),1979,"Adventure, Comedy, Family, Musical",,,,"76,657,000.00","347,260,182.07",,"MCMLXXIX ITC Films, Inc."
2127239,Life of Brian (1979),1979,Comedy,USD,"4,000,000.00","18,120,207.26","646,124.00","2,926,975.20","2,720,134 (Spain) (10 August 2002) | 480,273 (Sweden)",Python (Monty) Pictures Ltd.
1873263,Die Blechtrommel (1979),1979,"Drama, War",,,,"3,963,773.00","17,956,097.08","179,739 (Sweden)",
2170415,Meteor (1979),1979,"Action, Drama, Sci-Fi, Thriller",USD,"16,000,000.00","72,480,829.06","8,400,000.00","38,052,435.26","54,256 (Sweden)",© Copyright MCMLXXIX Meteor Joint Venture All Rights Reserved
2418726,The Champ (1979),1979,"Drama, Sport",,,,"2,149,451.00","9,737,124.41",,
2257901,Phantasm (1979),1979,"Fantasy, Horror, Sci-Fi",USD,"300,000.00","1,359,015.54","11,988,469.00","54,308,385.77","1,340,102 (Spain)","© Copyright MCMLXXVIII New Breed Productions, Inc. (on print)"
2421254,The Concorde... Airport '79 (1979),1979,"Action, Drama, Thriller",USD,"14,000,000.00","63,420,725.43","13,015,688.00","58,961,741.06","976,221 (France) (1979)","© MCMLXXIX By Universal City Studios, Inc."
1733479,Apocalypse Now (1979),1979,"Drama, War",USD,"31,500,000.00","142,696,632.21","4,626,290.00","20,957,333.42","1,061,543 (Hungary) | 2,327,173 (Spain) (first release) | 320,721 (Sweden) | 3,366,675 (West Germany) (1979)",Omni Zoetrope
1715186,Alien (1979),1979,"Horror, Sci-Fi",USD,"11,000,000.00","49,830,569.98","80,930,630.00","366,619,947.42","2,809,875 (France) | 1,385,423 (Spain) (31 August 2002) | 284,649 (Sweden)",Copyright © 1979 by Twentieth Century-Fox Film Corporation All Rights Reserved
2407577,The Amityville Horror (1979),1979,Horror,,,,"7,843,467.00","35,531,311.93",,"© Copyright by American International Pictures, Inc. MCMLXXIX (on print)"
2155643,Manhattan (1979),1979,"Comedy, Drama, Romance",,,,"39,946,780.00","180,960,983.29","2,353,357 (France) | 1,687,069 (Spain) | 188,498 (Sweden)",'Manhattan' copyright © United Artists Corporation MCMLXXIX (on print)
2183675,Moonraker (1979),1979,"Action, Adventure, Crime, Sci-Fi, Thriller",USD,"34,000,000.00","154,021,761.75","7,108,344.00","32,201,166.65","24,900,000 (USA) | 649,898 (Sweden)",Danjaq S.A.
1716615,All That Jazz (1979),1979,"Drama, Fantasy, Music, Musical",,,,"86,229.00","390,621.84",,"copyright © 1979 by Columbia Pictures Industries, Inc. (on print)"
2164939,Meatballs (1979),1979,Comedy,CAD,"1,600,000.00","7,248,082.91","77,170.00","349,584.10",,
1790523,Bronco Billy (1980),1980,"Action, Adventure, Comedy, Drama, Romance, Western",,,,"3,708,710.00","14,828,462.90","46,762 (West Germany) (1980)",© 1980 Warner Bros. Inc.
1798632,Caddyshack (1980),1980,"Comedy, Sport",USD,"6,000,000.00","23,989,683.05","3,142,689.00","12,565,352.17",,Orion Pictures Company
2236433,Ordinary People (1980),1980,Drama,USD,"6,000,000.00","23,989,683.05","54,766,923.00","218,973,520.74",,copyright © 1980 Paramount Pictures Corporation (on print)
2278576,Prom Night (1980),1980,"Horror, Mystery, Thriller",CAD,"1,600,000.00","6,397,248.81","14,796,236.00","59,159,502.00",,"© MCMLXXX by Guardian Trust Company, in trust (on print)"
2371786,Star Wars: Episode V - The Empire Strikes Back (1980),1980,"Action, Adventure, Sci-Fi",USD,"18,000,000.00","71,969,049.15","290,475,067.00","1,161,400,798.61","1,096,996 (France) (27 May 1997) (reissue) | 850,627 (France) (22 April 1997) (reissue) | 654,200 (France) (original release) | 2,771,300 (France) (original release) | 1,079,394 (Germany) (5 May 1997) (special edition) | 980,006 (Germany) (28 April 1997) (special edition) | 745,255 (Germany) (21 April 1997) (special edition) | 31,856 (Portugal) (24 April 1997) (reissue) | 19,130 (Portugal) (17 April 1997) (reissue) | 2,505,417 (Spain) (1980) (release version to date) | 337,079 (Spain) (special edition to date) | 2,842,496 (Spain) (total) | 349,776 (Sweden) (1982) | 109,758 (Sweden) (reissue)","1980, 1997 Lucasfilm Ltd."
2288625,Raging Bull (1980),1980,"Biography, Drama, Sport",USD,"18,000,000.00","71,969,049.15","23,383,987.00","93,495,739.43","126,642 (Sweden)",United Artists Corporation; 30 December 1980; PA-106-047 (in copyright registry)
2289279,Raise the Titanic (1980),1980,"Action, Adventure, Drama, Thriller",USD,"36,000,000.00","143,938,098.31","7,000,000.00","27,987,963.56",,
2268776,Popeye (1980),1980,"Adventure, Comedy, Family, Musical, Romance",USD,"20,000,000.00","79,965,610.17","49,823,057.00","199,206,557.68",,Copyright©MCMLXXX Paramount Pictures Corporation and Walt Disney Productions. All Rights Reserved (on print)
2372012,Stardust Memories (1980),1980,"Comedy, Drama",USD,"10,000,000.00","39,982,805.09","326,779.00","1,306,554.11",,(c) 1980 United Artists Corporation
2276353,Private Benjamin (1980),1980,"Comedy, War",USD,"10,000,000.00","39,982,805.09","4,739,769.00","18,950,926.01","638,796 (Sweden)",
1672052,'Breaker' Morant (1980),1980,"Drama, History, War",AUD,"650,000.00","2,598,882.33","7,142,857.00","28,559,145.92",,South Australian Film Corporation
2565814,Where the Buffalo Roam (1980),1980,"Biography, Comedy",,,,"6,659,377.00","26,626,057.26",,
2437320,The Gods Must Be Crazy (1980),1980,"Action, Comedy",,,,"28,358,465.00","113,385,097.86","1,003,870 (Hungary)",
